epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5046,0.94046,3.62493,1.1679,0.11398,0.25758,0.16646,0.13764,0.64062,2.70472,0.93054,6.363e-05,6.363e-05,6.363e-05
2,27.4623,0.72172,2.04761,1.04306,0.28955,0.50014,0.46397,0.40653,0.55773,3.16035,0.85881,0.0001341,0.0001341,0.0001341
3,31.0676,0.68824,1.28283,0.99509,0.60017,0.6754,0.68868,0.59486,0.56457,1.36057,0.85936,0.000202171,0.000202171,0.000202171
4,33.9222,0.65721,0.98075,0.96837,0.70954,0.80753,0.83366,0.71813,0.60261,1.14122,0.87915,0.000267841,0.000267841,0.000267841
5,36.688,0.67764,0.90417,0.9618,0.8104,0.86102,0.8628,0.74028,0.63088,1.00835,0.91703,0.000331112,0.000331112,0.000331112
6,39.4446,0.70723,0.82107,0.99959,0.77882,0.93373,0.87889,0.74064,0.68831,0.91179,0.94278,0.000391984,0.000391984,0.000391984
7,42.8843,0.65518,0.73378,0.97562,0.82052,0.89096,0.87367,0.74916,0.6312,0.79536,0.90173,0.000450455,0.000450455,0.000450455
8,45.8642,0.65197,0.68606,0.951,0.81245,0.92584,0.90531,0.77935,0.6411,0.78876,0.91296,0.000506527,0.000506527,0.000506527
9,48.5587,0.65119,0.67475,0.97008,0.80235,0.95821,0.87512,0.7488,0.62866,0.72559,0.91631,0.000560199,0.000560199,0.000560199
10,51.1526,0.634,0.6429,0.97095,0.76833,0.95573,0.91182,0.77712,0.65949,0.69347,0.95441,0.000611471,0.000611471,0.000611471
11,53.9081,0.64028,0.66748,0.97529,0.80055,0.92575,0.89431,0.74632,0.67113,0.75204,0.92526,0.000660343,0.000660343,0.000660343
12,57.1479,0.63821,0.65648,0.97973,0.79368,0.95787,0.87388,0.74535,0.65197,0.78219,0.91545,0.000706816,0.000706816,0.000706816
13,59.7577,0.6207,0.5594,0.96105,0.82194,0.80477,0.91026,0.79182,0.62113,0.84913,0.91123,0.000729018,0.000729018,0.000729018
14,62.453,0.59608,0.55802,0.95013,0.81521,0.90594,0.88687,0.78102,0.59164,0.78358,0.85069,0.000714019,0.000714019,0.000714019
15,65.108,0.61778,0.53945,0.95242,0.70365,0.88212,0.81869,0.70193,0.58861,1.01419,0.83597,0.000699021,0.000699021,0.000699021
16,68.29,0.6039,0.52252,0.94,0.78161,0.83923,0.81005,0.70622,0.58405,0.98214,0.8392,0.000684022,0.000684022,0.000684022
17,71.1091,0.60991,0.52483,0.95612,0.85309,0.81474,0.88661,0.75715,0.63842,0.78976,0.87424,0.000669024,0.000669024,0.000669024
18,73.6986,0.57941,0.50473,0.9469,0.82319,0.87551,0.90818,0.7973,0.57003,0.65967,0.85191,0.000654025,0.000654025,0.000654025
19,76.3953,0.57734,0.47747,0.93319,0.90729,0.87957,0.93152,0.81617,0.58869,0.54177,0.83947,0.000639027,0.000639027,0.000639027
20,79.0506,0.56288,0.47177,0.93083,0.86521,0.93651,0.94913,0.82712,0.59773,0.50881,0.8658,0.000624028,0.000624028,0.000624028
21,82.5426,0.57202,0.46557,0.94241,0.89128,0.88223,0.92854,0.79339,0.59792,0.55558,0.89889,0.00060903,0.00060903,0.00060903
22,85.1483,0.60735,0.49515,0.9583,0.84771,0.88188,0.89281,0.76637,0.62533,0.60192,0.88881,0.000594031,0.000594031,0.000594031
23,87.7409,0.58988,0.4806,0.94705,0.81964,0.86643,0.89388,0.76623,0.59168,0.60669,0.89698,0.000579033,0.000579033,0.000579033
24,90.3651,0.568,0.44595,0.93374,0.82751,0.88384,0.91171,0.77355,0.61785,0.61728,0.8909,0.000564034,0.000564034,0.000564034
25,93.3871,0.57124,0.48294,0.95464,0.83585,0.95578,0.91062,0.79137,0.58691,0.55559,0.88972,0.000549036,0.000549036,0.000549036
26,96.2844,0.54688,0.45727,0.92473,0.83011,0.9579,0.9074,0.79444,0.58494,0.65284,0.89895,0.000534037,0.000534037,0.000534037
27,98.9015,0.56959,0.44019,0.9462,0.85588,0.95485,0.9483,0.82732,0.58811,0.54254,0.89885,0.000519039,0.000519039,0.000519039
28,101.514,0.53484,0.43534,0.93349,0.8904,0.96122,0.94755,0.82993,0.5709,0.53365,0.87422,0.00050404,0.00050404,0.00050404
29,104.235,0.55421,0.44398,0.94817,0.8786,0.9347,0.92995,0.82286,0.58539,0.56246,0.89523,0.000489042,0.000489042,0.000489042
30,107.659,0.52908,0.42363,0.92155,0.8542,0.93543,0.96388,0.85093,0.56928,0.5396,0.89998,0.000474043,0.000474043,0.000474043
31,110.363,0.51199,0.40672,0.93496,0.89252,0.94394,0.97139,0.8443,0.5843,0.49656,0.8906,0.000459045,0.000459045,0.000459045
